epoch,is_street__dice_coef,is_street_loss,is_street_pr_auc,is_street_precision,is_street_recall,val_is_street__dice_coef,val_is_street_loss,val_is_street_pr_auc,val_is_street_precision,val_is_street_recall
236,0.0289,0.5131,0.0157,0.0,0.0,0.0215,0.5144,0.0109,0.0,0.0
237,0.0269,0.5145,0.016,0.0,0.0,0.0233,0.511,0.0137,0.0,0.0
238,0.0274,0.5127,0.0158,0.0,0.0,0.0219,0.513,0.0117,0.0,0.0
239,0.029,0.5133,0.016,0.0,0.0,0.0194,0.5092,0.0113,0.0,0.0
240,0.028,0.5156,0.0159,0.0,0.0,0.0225,0.511,0.0116,0.0,0.0
241,0.0283,0.5159,0.0153,0.0,0.0,0.0174,0.5153,0.0091,0.0,0.0
242,0.0272,0.5152,0.0154,0.0,0.0,0.0223,0.5152,0.0129,0.0,0.0
243,0.0259,0.5144,0.0146,0.0,0.0,0.0256,0.5118,0.0128,0.0,0.0
244,0.0255,0.5167,0.0149,0.0,0.0,0.0254,0.5115,0.013,0.0,0.0
245,0.0284,0.5139,0.0156,0.0,0.0,0.0253,0.5179,0.0143,0.0,0.0
246,0.0279,0.5165,0.015,0.0,0.0,0.0243,0.5101,0.0151,0.0,0.0
247,0.0274,0.5147,0.0156,0.0,0.0,0.0199,0.5109,0.0108,0.0,0.0
248,0.0263,0.5136,0.0148,0.0,0.0,0.0222,0.5095,0.0155,0.0,0.0
249,0.028,0.5142,0.0165,0.0,0.0,0.0212,0.524,0.011,0.0,0.0
250,0.027,0.5143,0.0156,0.0,0.0,0.0237,0.5172,0.0133,0.0,0.0
251,0.0293,0.5121,0.0172,0.0,0.0,0.0216,0.5108,0.0111,0.0,0.0
252,0.0279,0.5145,0.0161,0.0,0.0,0.0204,0.5104,0.0099,0.0,0.0
253,0.0273,0.5148,0.0163,0.0,0.0,0.0252,0.5187,0.0134,0.0,0.0
254,0.029,0.5133,0.0167,0.0,0.0,0.0156,0.5089,0.008,0.0,0.0
255,0.029,0.5143,0.0169,0.0,0.0,0.0231,0.5149,0.0115,0.0,0.0
256,0.0279,0.5133,0.0168,0.0,0.0,0.0166,0.5127,0.0089,0.0,0.0
257,0.0269,0.5152,0.0158,0.0,0.0,0.0183,0.5105,0.0088,0.0,0.0
258,0.0295,0.5169,0.0171,0.0,0.0,0.0246,0.509,0.0154,0.0,0.0
259,0.0296,0.5147,0.0163,0.0,0.0,0.0181,0.5086,0.0099,0.0,0.0
260,0.0251,0.5122,0.014,0.0,0.0,0.0234,0.5125,0.0109,0.0,0.0
261,0.0276,0.5147,0.0157,0.0,0.0,0.0235,0.513,0.0121,0.0,0.0
262,0.027,0.513,0.0154,0.0,0.0,0.0237,0.518,0.0134,0.0,0.0
263,0.0255,0.5147,0.0151,0.0,0.0,0.0205,0.5101,0.0103,0.0,0.0
264,0.0263,0.5131,0.0153,0.0,0.0,0.0277,0.5235,0.0128,0.0,0.0
265,0.0263,0.5218,0.0157,0.0,0.0,0.0282,0.5107,0.0154,0.0,0.0
266,0.025,0.5114,0.0138,0.0,0.0,0.0238,0.5114,0.0125,0.0,0.0
267,0.028,0.5165,0.0163,0.0,0.0,0.0164,0.5174,0.0097,0.0,0.0
268,0.0263,0.5131,0.0153,0.0,0.0,0.0181,0.51,0.01,0.0,0.0
269,0.0291,0.514,0.016,0.0,0.0,0.023,0.5181,0.0122,0.0,0.0
270,0.0262,0.5141,0.0153,0.0,0.0,0.0207,0.5129,0.0107,0.0,0.0
271,0.0261,0.5141,0.015,0.0,0.0,0.0173,0.5209,0.0099,0.0,0.0
272,0.0269,0.5143,0.0156,0.0,0.0,0.0217,0.5101,0.0106,0.0,0.0
273,0.0267,0.5125,0.0153,0.0,0.0,0.0205,0.5093,0.0113,0.0,0.0
274,0.0274,0.5123,0.0148,0.0,0.0,0.0281,0.5126,0.0175,0.0,0.0
275,0.0281,0.5131,0.016,0.0,0.0,0.0268,0.5172,0.0152,0.0,0.0
276,0.0267,0.5164,0.0149,0.0,0.0,0.022,0.5179,0.0115,0.0,0.0
277,0.0274,0.5132,0.0159,0.0,0.0,0.0246,0.5121,0.0123,0.0,0.0
278,0.0283,0.5172,0.017,0.0,0.0,0.0241,0.5102,0.013,0.0,0.0
279,0.0262,0.5139,0.0153,0.0,0.0,0.0203,0.5091,0.0117,0.0,0.0
